3,7,5
3,21,4
3,18,4
3,13,4
3,19,3
3,15,3
7,23,165
7,24,154
7,20,99
7,1,3
20,16,210
20,4,210
20,19,191
20,17,185
20,23,182
20,15,174
32,15,1
35,7,1
70,8,1
86,16,1
99,6,1
103,13,8
103,2,8
103,19,7
103,7,7
103,14,6
103,8,6
132,20,1
144,19,1
203,19,6
203,14,6
203,8,5
203,2,5
203,3,4
203,24,3
303,14,10
303,13,9
303,19,8
303,7,7
303,3,6
303,8,5
308,23,2
308,5,2
308,16,2
308,13,1
308,3,1
308,4,1
309,17,3
309,6,2
309,8,1
309,7,1
309,21,1
309,19,1
310,5,3
310,15,2
310,14,2
310,9,1
310,2,1
310,19,1
311,20,4
311,4,3
311,7,2
311,21,1
311,8,1
311,23,1
312,14,3
312,16,3
312,7,2
312,6,2
312,4,1
312,20,1
313,4,3
313,17,2
313,14,1
313,7,1
313,6,1
313,5,1
314,15,5
314,6,4
314,16,3
314,2,2
314,9,1
314,8,1
315,13,2
315,19,2
315,15,1
315,18,1
315,8,1
316,23,2
316,4,2
316,17,2
316,14,1
316,8,1
316,6,1
317,7,1
317,5,1
317,20,1
317,2,1
317,16,1
318,8,2
318,24,2
318,2,2
318,15,1
318,23,1
318,4,1
319,23,4
319,15,2
319,7,1
319,4,1
320,19,2
320,13,1
320,3,1
320,24,1
320,7,1
320,4,1
321,18,3
321,19,2
321,14,1
321,23,1
321,6,1
321,21,1
322,16,2
322,20,2
322,3,1
322,19,1
322,24,1
323,13,2
323,23,2
323,21,2
323,14,1
323,20,1
323,6,1
324,16,3
324,23,2
324,18,2
324,7,2
324,6,2
324,5,2
325,6,2
325,21,2
325,15,1
325,13,1
325,18,1
325,17,1
326,4,2
326,7,1
326,6,1
326,13,1
326,18,1
326,24,1
327,23,3
327,3,2
327,16,1
327,21,1
327,18,1
327,7,1
328,23,3
328,18,3
328,15,3
328,17,2
328,3,2
328,14,1
329,6,2
329,18,2
329,16,2
329,13,1
329,3,1
329,20,1
403,13,10
403,14,5
403,8,5
403,19,4
403,15,4
403,3,4
503,8,12
503,23,7
503,15,7
503,14,7
503,4,7
503,3,6
535,13,17
535,8,16
535,19,14
535,14,13
535,2,11
535,7,9
603,19,9
603,7,6
603,2,6
603,13,5
603,8,5
603,24,4
698,16,189
698,4,185
698,5,171
698,6,156
698,18,139
698,17,82
699,15,219
699,6,176
699,7,153
699,16,100
699,17,95
699,5,68
700,8,164
700,17,153
700,16,148
700,18,106
700,5,94
700,4,89
703,23,6
703,19,6
703,8,6
703,21,5
703,2,5
703,14,4
803,24,7
803,3,7
803,13,6
803,19,5
803,2,5
803,8,4
903,14,9
903,2,7
903,3,6
903,21,5
903,19,5
903,15,3
982,8,1
