,beaconId,relayNo,rssiVal,timeStamp
0,0700,15,89,2019-03-28 16:02:05.871133
1,0699,15,90,2019-03-28 16:02:05.871279
2,1e50,15,12,2019-03-28 16:02:05.871346
3,0020,15,0,2019-03-28 16:02:05.871402
4,0000,15,0,2019-03-28 16:02:05.871468
5,f320,15,0,2019-03-28 16:02:05.871522
6,0000,03,0,2019-03-28 16:02:05.871630
7,fb03,03,3,2019-03-28 16:02:05.871695
8,1e50,03,12,2019-03-28 16:02:05.871766
9,0020,03,0,2019-03-28 16:02:05.871825
10,0000,03,0,2019-03-28 16:02:05.872082
11,f30a,03,0,2019-03-28 16:02:05.872166
12,0000,09,0,2019-03-28 16:02:05.960410
13,fe03,09,3,2019-03-28 16:02:05.960460
14,1e50,09,12,2019-03-28 16:02:05.960487
15,0020,09,0,2019-03-28 16:02:05.960511
16,0000,09,0,2019-03-28 16:02:05.960535
17,e32d,09,0,2019-03-28 16:02:05.960559
18,0000,02,0,2019-03-28 16:02:05.960604
19,0503,02,3,2019-03-28 16:02:05.960631
20,1e50,02,12,2019-03-28 16:02:05.960658
21,0020,02,0,2019-03-28 16:02:05.960684
22,0000,02,0,2019-03-28 16:02:05.960711
23,331b,02,0,2019-03-28 16:02:05.960739
24,0007,24,87,2019-03-28 16:02:05.960945
25,0703,24,3,2019-03-28 16:02:05.960975
26,1e50,24,12,2019-03-28 16:02:05.961000
27,0020,24,0,2019-03-28 16:02:05.961026
28,0000,24,0,2019-03-28 16:02:05.961049
29,3316,24,0,2019-03-28 16:02:05.961074
30,0000,19,0,2019-03-28 16:02:05.961288
31,0535,19,1,2019-03-28 16:02:05.961323
32,0000,19,0,2019-03-28 16:02:05.961349
33,0000,19,31,2019-03-28 16:02:05.961374
34,7599,19,0,2019-03-28 16:02:05.961397
35,f475,19,103,2019-03-28 16:02:05.961424
36,0700,16,79,2019-03-28 16:02:05.961474
37,0699,16,91,2019-03-28 16:02:05.961504
38,0698,16,88,2019-03-28 16:02:05.961533
39,0020,16,0,2019-03-28 16:02:05.961561
40,0000,16,0,2019-03-28 16:02:05.961588
41,3322,16,0,2019-03-28 16:02:05.961616
42,0700,17,89,2019-03-28 16:02:05.961662
43,0700,17,90,2019-03-28 16:02:05.961691
44,1e50,17,12,2019-03-28 16:02:05.961720
45,0020,17,0,2019-03-28 16:02:05.961755
46,0000,17,0,2019-03-28 16:02:05.961783
47,1324,17,0,2019-03-28 16:02:05.961812
48,0698,04,84,2019-03-28 16:02:05.961858
49,0000,04,0,2019-03-28 16:02:05.961887
50,1e50,04,12,2019-03-28 16:02:05.961916
51,0020,04,0,2019-03-28 16:02:05.961944
52,0000,04,0,2019-03-28 16:02:05.961971
53,130e,04,0,2019-03-28 16:02:05.961999
54,0700,18,88,2019-03-28 16:02:05.962205
55,0698,18,90,2019-03-28 16:02:05.962235
56,1e50,18,12,2019-03-28 16:02:05.962262
57,0020,18,0,2019-03-28 16:02:05.962287
58,0000,18,0,2019-03-28 16:02:05.962320
